
income,1,2,3,4,5
6450,854 ,1232 ,1445 ,1597 ,1731 ,1852
6500,858 ,1238 ,1452 ,1605 ,1740 ,1861
6550,863 ,1245 ,1460 ,1613 ,1749 ,1871
6600,868 ,1251 ,1467 ,1621 ,1758 ,1881
6650,872 ,1258 ,1475 ,1630 ,1767 ,1890
6700,877 ,1264 ,1482 ,1638 ,1775 ,1900
6750,882 ,1271 ,1491 ,1647 ,1785 ,1910
6800,887 ,1278 ,1499 ,1656 ,1795 ,1921
6850,892 ,1285 ,1507 ,1665 ,1805 ,1932
6900,897 ,1293 ,1515 ,1675 ,1815 ,1942
6950,902 ,1300 ,1524 ,1684 ,1825 ,1953
7000,907 ,1307 ,1532 ,1693 ,1835 ,1963
7050,912 ,1314 ,1540 ,1702 ,1845 ,1974
7100,917 ,1321 ,1549 ,1711 ,1855 ,1985
7150,922 ,1328 ,1557 ,1720 ,1865 ,1995
7200,927 ,1336 ,1565 ,1729 ,1875 ,2006
7250,932 ,1343 ,1573 ,1738 ,1884 ,2016
7300,937 ,1349 ,1581 ,1747 ,1893 ,2026
7350,942 ,1356 ,1588 ,1755 ,1902 ,2036
7400,946 ,1362 ,1596 ,1763 ,1912 ,2045
7450,951 ,1369 ,1603 ,1772 ,1921 ,2055
7500,955 ,1375 ,1611 ,1780 ,1930 ,2065
7550,960 ,1382 ,1619 ,1789 ,1939 ,2075
7600,965 ,1389 ,1626 ,1797 ,1948 ,2084
7650,969 ,1395 ,1634 ,1805 ,1957 ,2094
7700,974 ,1402 ,1641 ,1814 ,1966 ,2104
7750,979 ,1408 ,1649 ,1822 ,1975 ,2113
7800,983 ,1415 ,1657 ,1830 ,1984 ,2123
7850,988 ,1422 ,1664 ,1839 ,1993 ,2133
7900,993 ,1428 ,1672 ,1847 ,2002 ,2143
7950,997 ,1435 ,1679 ,1856 ,2011 ,2152
8000,1002 ,1441 ,1687 ,1864 ,2021 ,2162
8050,1006 ,1448 ,1694 ,1872 ,2030 ,2172
8100,1011 ,1454 ,1702 ,1881 ,2039 ,2181
8150,1016 ,1461 ,1710 ,1889 ,2048 ,2191
8200,1020 ,1468 ,1717 ,1898 ,2057 ,2201
8250,1025 ,1474 ,1725 ,1906 ,2066 ,2211
8300,1030 ,1481 ,1732 ,1914 ,2075 ,2220
8350,1034 ,1487 ,1740 ,1923 ,2084 ,2230
8400,1039 ,1494 ,1748 ,1931 ,2093 ,2240
8450,1043 ,1501 ,1755 ,1939 ,2102 ,2250
8500,1048 ,1507 ,1763 ,1948 ,2111 ,2259
8550,1053 ,1514 ,1770 ,1956 ,2121 ,2269
8600,1057 ,1520 ,1778 ,1965 ,2130 ,2279
8650,1062 ,1527 ,1785 ,1973 ,2139 ,2288
8700,1066 ,1533 ,1793 ,1981 ,2148 ,2298
8750,1070 ,1539 ,1800 ,1989 ,2157 ,2308
8800,1075 ,1546 ,1808 ,1998 ,2166 ,2317
8850,1079 ,1552 ,1815 ,2006 ,2175 ,2327
8900,1083 ,1558 ,1823 ,2014 ,2184 ,2336
8950,1088 ,1565 ,1830 ,2023 ,2193 ,2346
9000,1092 ,1571 ,1838 ,2031 ,2202 ,2356
9050,1096 ,1577 ,1845 ,2039 ,2211 ,2365
9100,1101 ,1583 ,1853 ,2048 ,2220 ,2375
9150,1105 ,1590 ,1860 ,2056 ,2228 ,2384
9200,1110 ,1596 ,1868 ,2064 ,2237 ,2394
9250,1114 ,1602 ,1875 ,2072 ,2246 ,2404
9300,1118 ,1609 ,1883 ,2081 ,2255 ,2413
9350,1123 ,1615 ,1890 ,2089 ,2264 ,2423
9400,1127 ,1621 ,1898 ,2097 ,2273 ,2433
9450,1131 ,1628 ,1905 ,2106 ,2282 ,2442
9500,1136 ,1634 ,1913 ,2114 ,2291 ,2452
9550,1140 ,1640 ,1920 ,2122 ,2300 ,2461
9600,1144 ,1647 ,1928 ,2130 ,2309 ,2471
9650,1149 ,1653 ,1935 ,2139 ,2318 ,2481
9700,1153 ,1659 ,1943 ,2147 ,2327 ,2490
9750,1157 ,1666 ,1950 ,2155 ,2336 ,2500
9800,1162 ,1672 ,1958 ,2164 ,2345 ,2510
9850,1166 ,1678 ,1965 ,2172 ,2354 ,2519
9900,1170 ,1685 ,1973 ,2180 ,2363 ,2529
9950,1175 ,1691 ,1981 ,2188 ,2372 ,2538
10000,1179 ,1697 ,1988 ,2197 ,2381 ,2548
10050,1183 ,1703 ,1995 ,2204 ,2389 ,2557
10100,1187 ,1709 ,2002 ,2212 ,2398 ,2565
10150,1191 ,1715 ,2008 ,2219 ,2406 ,2574
10200,1195 ,1720 ,2015 ,2227 ,2414 ,2583
10250,1199 ,1726 ,2022 ,2234 ,2422 ,2592
10300,1203 ,1732 ,2029 ,2242 ,2430 ,2601
10350,1207 ,1738 ,2036 ,2250 ,2439 ,2609
10400,1211 ,1744 ,2043 ,2257 ,2447 ,2618
10450,1215 ,1749 ,2050 ,2265 ,2455 ,2627
10500,1219 ,1755 ,2056 ,2272 ,2463 ,2636
10550,1223 ,1761 ,2063 ,2280 ,2471 ,2644
10600,1227 ,1767 ,2070 ,2288 ,2480 ,2653
10650,1231 ,1773 ,2077 ,2295 ,2488 ,2662
10700,1235 ,1778 ,2084 ,2303 ,2496 ,2671
10750,1239 ,1784 ,2091 ,2310 ,2504 ,2680
10800,1243 ,1790 ,2098 ,2318 ,2513 ,2688
10850,1247 ,1796 ,2104 ,2325 ,2521 ,2697
10900,1251 ,1802 ,2111 ,2333 ,2529 ,2706
10950,1255 ,1808 ,2118 ,2341 ,2537 ,2715
11000,1259 ,1813 ,2125 ,2348 ,2545 ,2724
11050,1263 ,1819 ,2132 ,2356 ,2554 ,2732
11100,1267 ,1825 ,2139 ,2363 ,2562 ,2741
11150,1271 ,1831 ,2146 ,2371 ,2570 ,2750
11200,1275 ,1837 ,2152 ,2378 ,2578 ,2759
11250,1279 ,1842 ,2159 ,2386 ,2586 ,2768
11300,1283 ,1848 ,2166 ,2394 ,2595 ,2776
11350,1287 ,1854 ,2173 ,2401 ,2603 ,2785
11400,1291 ,1860 ,2180 ,2409 ,2611 ,2794
11450,1295 ,1866 ,2187 ,2417 ,2619 ,2803
11500,1299 ,1871 ,2194 ,2424 ,2628 ,2812
11550,1303 ,1877 ,2201 ,2432 ,2636 ,2821
11600,1307 ,1883 ,2208 ,2440 ,2644 ,2830
11650,1311 ,1889 ,2215 ,2447 ,2653 ,2838
11700,1315 ,1895 ,2222 ,2455 ,2661 ,2847
11750,1319 ,1900 ,2229 ,2463 ,2669 ,2856
11800,1322 ,1906 ,2235 ,2470 ,2678 ,2865
11850,1326 ,1912 ,2242 ,2478 ,2686 ,2874
11900,1330 ,1918 ,2249 ,2486 ,2694 ,2883
11950,1334 ,1923 ,2256 ,2493 ,2703 ,2892
12000,1338 ,1929 ,2263 ,2501 ,2711 ,2901
12050,1342 ,1935 ,2270 ,2508 ,2719 ,2909
12100,1346 ,1940 ,2276 ,2515 ,2726 ,2917
12150,1349 ,1945 ,2283 ,2522 ,2734 ,2925
12200,1353 ,1951 ,2289 ,2529 ,2742 ,2934
12250,1357 ,1956 ,2295 ,2536 ,2749 ,2942
12300,1360 ,1961 ,2302 ,2543 ,2757 ,2950
12350,1364 ,1967 ,2308 ,2551 ,2765 ,2958
12400,1367 ,1972 ,2315 ,2558 ,2772 ,2966
12450,1371 ,1977 ,2321 ,2565 ,2780 ,2975
12500,1375 ,1983 ,2327 ,2572 ,2788 ,2983
12550,1378 ,1988 ,2334 ,2579 ,2795 ,2991
12600,1382 ,1993 ,2340 ,2586 ,2803 ,2999
12650,1386 ,1998 ,2347 ,2593 ,2811 ,3007
12700,1389 ,2004 ,2353 ,2600 ,2818 ,3016
12750,1393 ,2009 ,2359 ,2607 ,2826 ,3024
12800,1397 ,2014 ,2366 ,2614 ,2834 ,3032
12850,1400 ,2020 ,2373 ,2622 ,2842 ,3041
12900,1405 ,2026 ,2380 ,2630 ,2851 ,3050
12950,1409 ,2032 ,2387 ,2638 ,2859 ,3059
13000,1413 ,2038 ,2394 ,2646 ,2868 ,3069
13050,1417 ,2044 ,2402 ,2654 ,2877 ,3078
13100,1421 ,2050 ,2409 ,2662 ,2885 ,3087
13150,1425 ,2056 ,2416 ,2670 ,2894 ,3096
13200,1429 ,2062 ,2423 ,2678 ,2902 ,3106
13250,1433 ,2068 ,2430 ,2685 ,2911 ,3115
13300,1437 ,2074 ,2437 ,2693 ,2920 ,3124
13350,1441 ,2080 ,2445 ,2701 ,2928 ,3133
13400,1445 ,2086 ,2452 ,2709 ,2937 ,3142
13450,1449 ,2092 ,2459 ,2717 ,2945 ,3152
13500,1453 ,2098 ,2466 ,2725 ,2954 ,3161
13550,1457 ,2104 ,2473 ,2733 ,2963 ,3170
13600,1461 ,2110 ,2481 ,2741 ,2971 ,3179
13650,1465 ,2116 ,2488 ,2749 ,2980 ,3189
13700,1469 ,2122 ,2495 ,2757 ,2989 ,3198
13750,1473 ,2128 ,2502 ,2765 ,2997 ,3207
13800,1477 ,2134 ,2509 ,2773 ,3006 ,3216
13850,1481 ,2140 ,2517 ,2781 ,3014 ,3225
13900,1485 ,2146 ,2524 ,2789 ,3023 ,3235
13950,1489 ,2152 ,2531 ,2797 ,3032 ,3244
14000,1493 ,2158 ,2538 ,2805 ,3040 ,3253
14050,1497 ,2164 ,2545 ,2813 ,3049 ,3262
14100,1501 ,2170 ,2553 ,2821 ,3058 ,3272
14150,1505 ,2176 ,2560 ,2829 ,3066 ,3281
14200,1509 ,2181 ,2567 ,2836 ,3075 ,3290
14250,1514 ,2187 ,2574 ,2844 ,3083 ,3299
14300,1518 ,2193 ,2581 ,2852 ,3092 ,3308
14350,1522 ,2199 ,2589 ,2860 ,3101 ,3318
14400,1526 ,2205 ,2596 ,2868 ,3109 ,3327
14450,1530 ,2211 ,2603 ,2876 ,3118 ,3336
14500,1534 ,2217 ,2610 ,2884 ,3126 ,3345
14550,1538 ,2223 ,2617 ,2892 ,3135 ,3354
14600,1542 ,2229 ,2624 ,2900 ,3144 ,3364
14650,1546 ,2235 ,2632 ,2908 ,3152 ,3373
14700,1550 ,2241 ,2639 ,2916 ,3161 ,3382
14750,1554 ,2247 ,2646 ,2924 ,3170 ,3391
14800,1558 ,2253 ,2653 ,2932 ,3178 ,3401
14850,1562 ,2259 ,2660 ,2940 ,3187 ,3410
14900,1566 ,2265 ,2668 ,2948 ,3195 ,3419
14950,1570 ,2271 ,2675 ,2956 ,3204 ,3428
15000,1574 ,2277 ,2682 ,2964 ,3213 ,3437
15050,1578 ,2283 ,2689 ,2972 ,3221 ,3447
15100,1582 ,2289 ,2696 ,2980 ,3230 ,3456
15150,1586 ,2295 ,2704 ,2987 ,3238 ,3465
15200,1590 ,2301 ,2711 ,2995 ,3247 ,3474
15250,1594 ,2307 ,2718 ,3003 ,3256 ,3484
15300,1598 ,2313 ,2725 ,3011 ,3264 ,3493
15350,1602 ,2319 ,2732 ,3019 ,3273 ,3502
15400,1606 ,2325 ,2740 ,3027 ,3282 ,3511
15450,1610 ,2330 ,2746 ,3034 ,3289 ,3519
15500,1613 ,2334 ,2750 ,3039 ,3294 ,3525
15550,1615 ,2338 ,2755 ,3044 ,3300 ,3531
15600,1618 ,2342 ,2759 ,3049 ,3305 ,3537
15650,1621 ,2346 ,2764 ,3054 ,3311 ,3542
15700,1624 ,2350 ,2768 ,3059 ,3316 ,3548
15750,1626 ,2353 ,2773 ,3064 ,3322 ,3554
15800,1629 ,2357 ,2778 ,3069 ,3327 ,3560
15850,1632 ,2361 ,2782 ,3074 ,3332 ,3566
15900,1634 ,2365 ,2787 ,3079 ,3338 ,3572
15950,1637 ,2369 ,2791 ,3084 ,3343 ,3577
16000,1640 ,2373 ,2796 ,3089 ,3349 ,3583
16050,1643 ,2377 ,2800 ,3094 ,3354 ,3589
16100,1645 ,2381 ,2805 ,3099 ,3360 ,3595
16150,1648 ,2385 ,2809 ,3104 ,3365 ,3601
16200,1651 ,2389 ,2814 ,3109 ,3371 ,3607
16250,1654 ,2392 ,2818 ,3114 ,3376 ,3612
16300,1656 ,2396 ,2823 ,3119 ,3381 ,3618
16350,1659 ,2400 ,2828 ,3124 ,3387 ,3624
16400,1662 ,2404 ,2832 ,3129 ,3392 ,3630
16450,1665 ,2408 ,2837 ,3134 ,3398 ,3636
16500,1667 ,2412 ,2841 ,3140 ,3403 ,3641
16550,1670 ,2416 ,2846 ,3145 ,3409 ,3647
16600,1673 ,2420 ,2850 ,3150 ,3414 ,3653
16650,1675 ,2424 ,2855 ,3155 ,3420 ,3659
16700,1678 ,2428 ,2859 ,3160 ,3425 ,3665
16750,1681 ,2431 ,2864 ,3165 ,3430 ,3671
16800,1684 ,2435 ,2868 ,3170 ,3436 ,3676
16850,1686 ,2439 ,2873 ,3175 ,3441 ,3682
16900,1689 ,2443 ,2878 ,3180 ,3447 ,3688
16950,1692 ,2447 ,2882 ,3185 ,3452 ,3694
17000,1695 ,2451 ,2887 ,3190 ,3458 ,3700
17050,1697 ,2455 ,2891 ,3195 ,3463 ,3706
17100,1700 ,2459 ,2896 ,3200 ,3469 ,3711
17150,1703 ,2463 ,2900 ,3205 ,3474 ,3717
17200,1705 ,2467 ,2905 ,3210 ,3479 ,3723
17250,1708 ,2471 ,2909 ,3215 ,3485 ,3729
17300,1711 ,2474 ,2914 ,3220 ,3490 ,3735
17350,1714 ,2478 ,2918 ,3225 ,3496 ,3740
17400,1716 ,2482 ,2923 ,3230 ,3501 ,3746
17450,1719 ,2486 ,2928 ,3235 ,3507 ,3752
17500,1722 ,2490 ,2932 ,3240 ,3512 ,3758
17550,1725 ,2494 ,2937 ,3245 ,3518 ,3764
17600,1727 ,2498 ,2941 ,3250 ,3523 ,3770
17650,1730 ,2502 ,2946 ,3255 ,3528 ,3775
17700,1733 ,2506 ,2950 ,3260 ,3534 ,3781
17750,1736 ,2510 ,2955 ,3265 ,3539 ,3787
17800,1738 ,2513 ,2959 ,3270 ,3545 ,3793
17850,1741 ,2517 ,2964 ,3275 ,3550 ,3799
17900,1744 ,2521 ,2968 ,3280 ,3556 ,3805
17950,1746 ,2525 ,2973 ,3285 ,3561 ,3810
18000,1749 ,2529 ,2978 ,3290 ,3567 ,3816
18050,1752 ,2533 ,2982 ,3295 ,3572 ,3822
18100,1755 ,2537 ,2987 ,3300 ,3577 ,3828
18150,1757 ,2541 ,2991 ,3305 ,3583 ,3834
18200,1760 ,2545 ,2996 ,3310 ,3588 ,3839
18250,1763 ,2549 ,3000 ,3315 ,3594 ,3845
18300,1766 ,2552 ,3005 ,3320 ,3599 ,3851
18350,1768 ,2556 ,3009 ,3325 ,3605 ,3857
18400,1771 ,2560 ,3014 ,3330 ,3610 ,3863
18450,1774 ,2564 ,3018 ,3335 ,3616 ,3869
18500,1776 ,2568 ,3023 ,3340 ,3621 ,3874
18550,1779 ,2572 ,3027 ,3345 ,3626 ,3880
18600,1782 ,2576 ,3032 ,3350 ,3632 ,3886
18650,1785 ,2580 ,3037 ,3355 ,3637 ,3892
18700,1787 ,2584 ,3041 ,3360 ,3643 ,3898
18750,1790 ,2588 ,3046 ,3365 ,3648 ,3904
18800,1793 ,2592 ,3050 ,3370 ,3654 ,3909
18850,1796 ,2595 ,3055 ,3376 ,3659 ,3915
18900,1798 ,2599 ,3059 ,3381 ,3664 ,3921
18950,1801 ,2603 ,3064 ,3386 ,3670 ,3927
19000,1804 ,2607 ,3068 ,3391 ,3675 ,3933
19050,1807 ,2611 ,3073 ,3396 ,3681 ,3938
19100,1809 ,2615 ,3077 ,3401 ,3686 ,3944
19150,1812 ,2619 ,3082 ,3406 ,3692 ,3950
19200,1815 ,2623 ,3087 ,3411 ,3697 ,3956
19250,1817 ,2627 ,3091 ,3416 ,3703 ,3962
19300,1820 ,2631 ,3096 ,3421 ,3708 ,3968
19350,1823 ,2634 ,3100 ,3426 ,3713 ,3973
19400,1826 ,2638 ,3105 ,3431 ,3719 ,3979
19450,1828 ,2642 ,3109 ,3436 ,3724 ,3985
19500,1831 ,2646 ,3114 ,3441 ,3730 ,3991
19550,1834 ,2650 ,3118 ,3446 ,3735 ,3997
19600,1837 ,2654 ,3123 ,3451 ,3741 ,4003
19650,1839 ,2658 ,3127 ,3456 ,3746 ,4008
19700,1842 ,2662 ,3132 ,3461 ,3752 ,4014
19750,1845 ,2666 ,3137 ,3466 ,3757 ,4020
19800,1847 ,2670 ,3141 ,3471 ,3762 ,4026
19850,1850 ,2674 ,3146 ,3476 ,3768 ,4032
19900,1853 ,2677 ,3150 ,3481 ,3773 ,4037
19950,1856 ,2681 ,3155 ,3486 ,3779 ,4043
20000,1858 ,2685 ,3159 ,3491 ,3784 ,4049
